Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants
Make AbstractFuture compatible with ForkJoinPool by catching exceptions from property retrieval,P2 cla: yes package=concurrent type=defect,,cpovirk,"ElliottBrossard: Context: #3784.googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..ElliottBrossard: I submitted the corporate CLA on behalf of Snowflake, but I need our authorized signer (our VP) to click through the agreement still. Once that happens, I'll trigger the cla/google check again..ElliottBrossard: Hmm is there a way to see the test outputs for Travis CI? The log indicates that the new test fails, but I don't see that /home/travis/build/google/guava/guava-tests/target/surefire-reports is made available anywhere....cpovirk: On the job log page, you can scroll way to the bottom and click the $ util/print_surefire_reports.sh line and -- I see that it's not working :( I will have a look. Sorry about that..cpovirk: Odd. It works for me locally (also maven-surefire-plugin:2.7.2, though only Maven 3.5). I wonder what's different about Travis.
If you're lucky, the problem will reproduce for you locally:
mvn clean install ""-Dtest.include=**/AbstractFutureInnocuousThreadTest.java""
(You can probably skip the clean part, but I am always nervous about doing so.).cpovirk: OK, I patched in your PR, so I have updates on 2 fronts:
First, the failure is this:
testAbstractFutureInitializationWithInnocuousThread_doesNotThrow(com.google.common.util.concurrent.AbstractFutureInnocuousThreadTest)  Time elapsed: 0.151 sec  <<< ERROR!
java.security.AccessControlException: access denied (""java.lang.RuntimePermission"" ""closeClassLoader"")
  at java.security.AccessControlContext.checkPermission(AccessControlContext.java:472)
  at java.security.AccessController.checkPermission(AccessController.java:884)
  at java.lang.SecurityManager.checkPermission(SecurityManager.java:549)
  at java.net.URLClassLoader.close(URLClassLoader.java:289)
  at com.google.common.util.concurrent.AbstractFutureInnocuousThreadTest.tearDown(AbstractFutureInnocuousThreadTest.java:80)
...

I am able to reproduce it locally -- but not when using the test.include flag from my previous post. It's possible that this means that your test is affected by a previous test's incomplete cleanup or other poor hygiene (AbstractFutureFallbackAtomicHelperTest? AbstractFutureCancellationCauseTest?).
Second, I'm not completely sure what's up with util/print_surefire_reports.sh. Locally, I get a ""successful"" run but with no results with your commit patched in. That's because I'm seeing .xml files for most tests but not seeing one for your test. Maybe that's related to the SecurityManager?
I don't know why the situation would be different under Travis, under which there are apparently no .xml files.....cpovirk: Now I am more confused!
In an attempt to narrow down which tests were causing the problem, I ran:
mvn clean install ""-Dtest.include=%regex[.*util.concurrent.*.class]""
That got this far:
Running com.google.common.util.concurrent.AbstractExecutionThreadServiceTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.09 sec
Running com.google.common.util.concurrent.AbstractFutureCancellationCauseTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.042 sec
Running com.google.common.util.concurrent.AbstractFutureFallbackAtomicHelperTest
Tests run: 42, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 33.034 sec
Running com.google.common.util.concurrent.AbstractFutureInnocuousThreadTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.073 sec

Those all appear to be successes. But then the run aborted, claiming:
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.7.2:test (default-test) on project guava-tests: There are test failures.

So I'm not sure what's up. Hopefully it will be clearer to you from the code..ElliottBrossard: Thanks for taking a look! I wonder if resetting the SecurityManager to its original state at the end of the test would fix the problem...I'll give that a shot locally without the test filter and then see if it passes, then see if another Travis run will succeed..ElliottBrossard: I really wish I could see the test output from Travis...I tried resetting the SecurityManager with System.setSecurityManager(null); at the end of the test, and both mvn clean install ""-Dtest.include=%regex[.*util.concurrent.*.class]"" and mvn clean install ""-Dtest.include=**/AbstractFutureInnocuousThreadTest.java"" pass for me now, but it looks like the tests through Travis are still failing based on the result above :(
Is /home/travis/build/google/guava/guava-tests/target/surefire-reports kept around in any logs/outputs?.ElliottBrossard: Let's check on the CLA status at least, since we submitted the corporate one:
@googlebot I signed it!.ElliottBrossard: @googlebot I signed it!.googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info..ElliottBrossard: Woohoo, the CLA check passes now.
Separately, though, I found a way to avoid depending on ForkJoinPool within Arrow Flight, so it's fine if AbstractFuture tries to access properties, and I'm not blocked on this PR any more. I'm happy to try to see it to completion, but it's not urgent in any case..cpovirk: Thanks! I grabbed your test and tweaked it to use a custom SecurityManager subclass instead of writing a policy file. That appears to be enough to get mvn clean install to pass. Do you have any comments on the result, #3795?.cpovirk: (You can ignore the second copy of the files (from the android directory). I probably should have omitted that copy from the PR.).ElliottBrossard: Nice, LGTM! Thanks for figuring out a way to make it work. It sounds like this project doesn't merge changes from Github anyway, so we can close this PR if you want to proceed with submitting your version to google3 (and then I'm assuming the changes get exported to Github at some point)..cpovirk: Right, we'll make the equivalent change internally and then mirror it back out (with your name attached). That will automatically close this PR, so we can keep it open just in case I somehow forget about it :)",2020-01-29T17:54:43Z,2020-02-07T02:44:29Z,1,0,4
MOE Sync 2020-01-28,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Link directly to guava.dev for Javadoc.
70f7d83",2020-01-28T21:18:26Z,None,1,0,2
Add shortcuts to Javadoc.,cla: yes,,,"cpovirk: e.g.,
https://guava.dev/ImmutableList
https://guava.dev/ImmutableList.copyOf
https://guava.dev/immutablelist",2020-01-23T21:02:56Z,None,1,"5,000+",2
Remove some settings that we don't appear to need.,cla: yes,,,"cpovirk: The one I really care about removing is safe: true.
It seems to have been required at one point but not anymore.
And safe: true appears to prevent plugins from working.
This is a problem when I try to use jekyll-redirect-from for b/144155774.
The rest are just to hopefully avoid future problems.
Or maybe cause them :)
But I'm encouraged that they're mostly absent from our other projects, like Truth.
Also, while here, update our exclude section to look more like what we've done for our other projects.
Compare to google/truth@3f22311",2020-01-22T21:59:33Z,None,1,1,2
Add more context to the guava.dev landing page,cla: yes,cgdecker,,"CydeWeys: This change makes it clear how widely used Guava actually is; it's not just another throw-away library, it's essential to Java development with Google and many other companies.

This change is.CydeWeys: Ping?",2020-01-22T16:34:57Z,None,1,0,3
"Write type annotations on types, not on declarations",cla: yes,,cpovirk,mernst: No description provided.,2020-01-19T05:13:05Z,2020-01-21T16:54:32Z,1,0,3
MOE Sync 2020-01-17,cla: yes internal-sync,,,"cgdecker: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Update Resource.getResource to allow ignoring return value for existence checks.
Specifically this impacts getResource(contextClass, resourceName) as this is already present on getResource(resourceName)
RELNOTES=Update Resource.getResource(*) to allow ignoring return value for existence checks.
383c278",2020-01-17T19:49:38Z,None,1,0,2
MOE Sync 2020-01-16,cla: yes internal-sync,,,"cgdecker: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Update Public Suffix data.
fea136b

 Rewrite the Stopwatch docs to explain elapsed vs wall time
81b9816",2020-01-16T18:06:54Z,None,2,0,4
MOE Sync 2020-01-14,cla: yes internal-sync,,,"cgdecker: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Upgrade checker-qual to v2.11.1.
Fixes #3671
f85d76f.googlebot: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info..googlebot: A Googler has manually verified that the CLAs look good.
(Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.)
ℹ️ Googlers: Go here for more info..cgdecker: Setting cla: yes because this commit comes from a PR the CL author submitted and signed the CLA for.",2020-01-14T14:57:59Z,None,1,0,3
MOE Sync 2020-01-09,cla: yes internal-sync,,,"netdpb: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Add incidentEdgeOrder() to the [Value]Graph interface
RELNOTES=graph: Add incidentEdgeOrder() to the [Value]Graph interfaces
ae2710e

 Make incidentEdgeOrder() public for [Value]Graph
RELNOTES=graph: Allow setting a stable incident edge order by calling the newly added method [Value]Graph.Builder.incidentEdgeOrder(ElementOrder.stable()).
0ceaed0",2020-01-09T16:47:08Z,None,2,0,3
